Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18097961237,"Apr 13, 2026, 9:15:22 PM",Recovery Workout,Workout, 2026-04-14 05:15:22 HUAWEI Fit SE,1300,0,143.0,4,,"",,activities/19199743778.fit.gz,,,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,143.0,118.0,,,126.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18087157972,"Apr 13, 2026, 4:51:23 AM",Morning Run,Run,"",4180,10.81,168.0,129,,"",Adidas Adizero Evo SL,activities/19188892578.gpx.gz,,,4180.0,4167.0,10809.5,3.143,2.594,149.3,151.1,9.5,45.0,42.1,0.0,,,84.0,82.0,168.0,163.0,,,859.0,,28.0,129.0,,,,,,3.0,,,,,,34.0,0.0,,1.0,11098.4,,,,,,,,,,,,,,,,27116017.0,,,,,,,,,,,2.586,0.0,,,,,0.0,,,,2.663,,,0.0,0.0,,,,0.0,,,,media/4b07a586-6fce-4353-9202-2ef80492ccaf.jpg|media/ecdab083-2b13-43f0-ac8c-c919f08f7cb7.jpg|media/ba754ab9-0069-4797-96cd-0cb0f3cdfdfd.jpg|media/f5b2e89c-f23a-4ddf-8b5e-f7030f3a496a.jpg
18090079884,"Apr 12, 2026, 9:53:40 AM",Outdoor Run,Run,Run 2026-04-12 17:53:40 HUAWEI Fit SE,1560,3.83,180.0,47,,"",Adidas Lite Racer 4.0 Cloudfoam,activities/19191849369.fit.gz,,,1560.0,1560.0,3830.0,0.0,2.455,0.0,0.0,0.0,0.0,0.0,0.0,,,93.0,80.0,180.0,162.0,,,244.0,,,47.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,27118212.0,,,,,,,,,,,2.455,0.0,,,,,0.0,,,,,,,1.0,0.0,,,,0.0,,,,""
18090079641,"Apr 12, 2026, 9:38:36 AM",Indoor Walk,Walk,Walk 2026-04-12 17:38:36 HUAWEI Fit SE,110,0.13,108.0,0,,"",Vans Trek,activities/19191849197.fit.gz,,,110.0,110.0,130.0,0.0,1.182,0.0,0.0,0.0,0.0,0.0,0.0,,,56.0,54.0,108.0,100.0,,,7.0,,,0.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,29991815.0,,,,,,,,,,,1.182,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18073670076,"Apr 11, 2026, 9:23:03 AM",Afternoon Walk,Walk,HUAWEI Fit SE,5583,7.59,134.0,18,,"",Vans Trek,activities/19175194748.fit.gz,,,5583.0,5583.0,7590.0,1.49,1.359,0.0,0.0,0.0,0.0,0.0,0.0,,,63.0,59.0,134.0,119.0,,,390.0,,,18.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,29991815.0,,,,,,,,,,,1.359,0.0,,,,10998.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18073529669,"Apr 11, 2026, 12:32:42 AM",Workout,Workout, 2026-04-11 08:32:42 HUAWEI Fit SE,1205,0,138.0,3,,"",,activities/19175051601.fit.gz,,,1205.0,1205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,138.0,111.0,,,103.0,,,3.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18098964106,"Apr 10, 2026, 10:33:33 PM",Morning Run,Run,Huawei Health,5397,9.83,174.0,49,,"",Adidas Adizero Evo SL,activities/19175197191.fit.gz,,,5397.0,4220.0,9834.4,10.55,2.33,76.7,95.5,3.1,53.1,9.6,-0.2,,,90.0,69.0,174.0,142.0,,,766.0,,,49.0,,,,,,,,,,,,,0.0,,1.0,9899.1,,,,,,,,,,,,,,,,27116017.0,,,,,,,,,,,1.822,2842.7,,,,15146.0,0.0,,,,2.346,,,0.0,0.0,,,,0.0,,,,""
18059526938,"Apr 10, 2026, 10:01:15 PM",Outdoor Run,Run,Run 2026-04-11 06:03:29 HUAWEI Fit SE,7335,13.84,174.0,73,,"",Adidas Adizero Evo SL,activities/19160883764.fit.gz,,,7335.0,6192.0,13845.8,14.586,2.236,91.9,91.9,-2.6,51.0,13.0,0.0,,,92.0,70.0,174.0,142.0,,,791.0,,,73.0,,,,,,,,,,,,,0.0,,1.0,13970.9,,,,,,,,,,,,,,,,27116017.0,,,,,,,,,,,1.888,0.0,,,,,0.0,,,,2.257,,,0.0,0.0,,,,0.0,,,,""
18049185658,"Apr 9, 2026, 10:07:11 AM",Evening Walk,Walk,HUAWEI Fit SE ,993,1.14,138.0,4,,"",Vans Trek,activities/19150461288.fit.gz,,,993.0,993.0,1140.0,1.34,1.148,0.0,0.0,0.0,0.0,0.0,0.0,,,59.0,54.0,138.0,130.0,,,73.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,29991815.0,,,,,,,,,,,1.148,0.0,,,,1722.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18049185761,"Apr 9, 2026, 9:32:33 AM",Afternoon Indoor Run,Run,HUAWEI Fit SE,1796,3.50,179.0,59,,"",Adidas Lite Racer 4.0 Cloudfoam,activities/19150461381.fit.gz,,,1796.0,1796.0,3500.0,3.99,1.949,0.0,0.0,0.0,0.0,0.0,0.0,,,94.0,78.0,179.0,166.0,,,197.0,,,59.0,,,,,,,,,,,,,0.0,,1.0,3500.0,,,,,,,,,,,,,,,,27118212.0,,,,,,,,,,,1.949,0.0,,,,3750.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
